Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bl08001	perfume	of the flowers	heavy				She				He is — an interesting man .	' She moved restlessly to the window to let in more air over the heavy perfume of the flowers .	' Well , he is the fashion ; so , of course , one likes to get him .
bl08001	it		sultry					in the early days			There were couches all along and rugs about , while above , through the panes , shone the stars and a crescent moon .	It was hot even here , although the glass was covered by an awning through the day , but it was sultry everywhere in the early days of June .	The windows were open at either end , but the night air only weighed down the evening scent of exotic blooms .
bl08001	scent	of exotic blooms	evening	the night air							It was hot even here , although the glass was covered by an awning through the day , but it was sultry everywhere in the early days of June .	The windows were open at either end , but the night air only weighed down the evening scent of exotic blooms .	Below was the roar of traffic , human 231 The Radical ' s Wife 5c brought his fist down on the table , ' what about that Brut Imperial ? ' ' I have just three bottles left , sir , ' said mine host , obsequiously ; ' they are of worth .
bl08001	scent	of the gardenias	heavy								The dim lamp had struggled with the breaking day , and a garish light burst in on the midnight scene .	Still rose the heavy scent of the gardenias from the bouquet she had worn one night ago ; but the faded heliotrope seemed to wither without the water spilt upon the floor .	About them lay the broken glass of the photo frame , and the portrait pushed aside .
bl08001	liqueurs	coffees									Down on the full tide , with its gentle ripple , that lapped against the Palace walls , gleamed the bright lamps here and there , while in the darkened sky above the stars were glittering , and the moon shone bright on the throng of England ' s chosen .	Here and there the people chattered , and the waiters hurried to and fro with coffees and liqueurs .	In open doorways the whips , known without their hats , still lounged , and around was the perfume of the ' plants ' mixing with that of blossoms worn by the grave and fair .
bl08001	perfume	of the ' plants '			that of blossoms worn by the	In open doorways					Here and there the people chattered , and the waiters hurried to and fro with coffees and liqueurs .	In open doorways the whips , known without their hats , still lounged , and around was the perfume of the ' plants ' mixing with that of blossoms worn by the grave and fair .	' How I love this place ! ' murmured Katherine to Charlie ; ' and people leave it to go to packed drawing - rooms , heated ballrooms , where every idiot can squirl in his neighbour ' s arms .
bl08001	perfume		sweet								288 * 9 The Radical ' s Wife ' It was good of you to bring me these , Gilbert , ' she said .	' I wanted to bring you something like yourself , ' he muttered ; ' deep tone , sweet perfume , harmonious sight .	Ah ! He leaned back and looked all round him , noting every httle detail — the amber cushions on the couches , the white fur rags on the dark - stained floor , the landscape here and there on the yellow walls , the narrow lattice window flung ajar , and the dark green fern bending beneath the August sun .
bl08001	scented|scented	cream - coloured roses|their	sweet|scented|scented								I knew what that was — it is like the word of the dead — and he kept it , too .	It was awfully hard on him , poor fellow , and he did complain conditions were very funny as he took me home ; but I said , Never mind the funnyness , those are the ' Still she stood laugh - ing , playing with the sweet - scented , cream - coloured roses and their deep green leaves .	91 The Radical ' s Wife S » ' You were dreadfully hurt , I am afraid , ' said Katherine , sympathetically .
bl08001	scent|fragrant|fragrant|fragrant	of the fragrant|fragrant|fragrant Manillas	fragrant|fragrant|fragrant	the surrounding surrounding air							It was not cold — it could not be in this raging , hot July ; it was only the welcome freshness of the new - born day .	Katherine leaned back , laughing with all the gaiety of her buoyant heart , while the scent of the fragrant Manillas filled the surrounding surrounding air .	CHAPTER XIII Katherine ' s face was pressed against the grating of the Ladies ' Cage in the House of Commons , and with two ungloved hands she clung to the iron bar in front .
bl08001	fluff|nostrils						them|to their				Now , you know 112 + S The Radical ' s Wife admitted .	It was so much pleasanter for them , sitting on a stool , drawing threads through a machine , the fluff of which was as good as snuff to their nostrils , than to do odd jobs in the open air or in the rooms at home .	It added so much to their importance and well - being to bring grist to the paternal mill , of which they had no part or parcel , but were merely apprentices , many years too young , with the hours of seance childhood sacrificed of these poor beings thrust upon the soil .
bl08001	-|- scented|scented	death|death|hair	death|death -|- scented|scented								' She rose as he extended his broad right hand , and stood and faced him .	A thin , narrow , slender woman , with soiled black gown and ruffled , death - scented hair .	Her eyes , shrunken and pale , were the tint of her shrivelled skin , while the lids stood out , red , swollen and inflamed , burnt with an inward agony , not with tear - drops that bring intense relief .
bl08001	sniff	it					He				' ' Move your chair a httle , Hilda , ' said Katherine , ' or your skirts will get into that wretched Chartreuse ! ' ' At anyrate , Katherine , that will protect you from your bete noir M .	He will sniff it from afar , and stay at the other end of the Terrace .	' ' AVho is Mr M ? One of the new members ? ' ' Yes ; he won Charlie ' s seat ! One for our side , you know ! ' John laughed in his cold , monotonous way .
bl08001	perfume	the bouquet of gardenias	intoxicating								' ' Yes , I daresay , but I would rather see you into your own flat ' 149 The Radical ' s Wife 5c dimpled arms lay against the hard embroidery of her robe .	At her feet lay the bouquet of gardenias , shrivelled , but emitting an intoxicating perfume , while , her gloves wrung off , she trifled with the diamonds on her nervous , long , thin fingers .	Like a very Nana , she smiled in the glass , and her eyes , black in their depths , flashed back on herself .
bl08001	fragrant|fragrant	rose	fragrant|fragrant								Could great fights only be won like this , with the blood of brains , with the weight of human sighs ? Another moment , and she laughed .	A creamy , fragrant rose lay on the stone pillar , its long stem had clambered up , and its green leaves lay beside .	' John was coming that night ; well , it didn ' t matter ! He knew the Labour question was first , and he did not know how widely they diverged on it .
bl08001	smell	of them injens									John James was yarning on , — ' And he drew me aside in a confidential way so that I grew quite alarmed , and began to think the celebrated room had been blown up with dynamite dynamite or something , but he said , Please , sir , we can ' t show it to no ladies to - day .	Fact is , we ' re jist ' avin ' an ' ot pot , and the smell of them injens is something orful ! : ' D ' vision ! ' came like the crack of doom through the night air , and in three seconds the men had vanished , and there was stillness and solitude by the waterside .	Only here and there a man — a guest looking miserably out of place — was left among the women , and under the lamps the sentry tramped up and down .
bl08001	scented	the mass of mauve heliotrope				round her little room	she				Forgive me , my dear boy , for reminding you you are writing to a wife , and one who , so far from wanting your hasn ' t a grain of that commodity to give you .	I gave a love — ' She paused , laid down her pen , and smiled , as she looked round her little room and scented the mass of mauve heliotrope beside her .	' Thank God , yes , ' came a murmur in her heart , ' it is true ! For once in my life these words are but the truth .
bl08001	scented|scented		flower|scented|scented				She				Mr Leighton had left her as she had bidden him , to seek the information for which they hungered .	She was glad to rest alone a moment in that flower - scented , artistic , gaily - peopled hall .	She had her mental society garb on , and , with excitement , was just a little overstrained .
bl08001	breezes		pungent								They sauntered out , Charlie lighting a cigarette for Katherine , as Tony helped himself to the cigars .	It was a fresh , cool night after the burning August day , and light , pungent breezes came over the gorse - covered plain .	Above shone the stars in the clear , dark sky , the only guide they had on the country road by the far - stretching heath .
bl08001	scent	of summer jasmine	Sweeter					after sunset			' They were only trivial sentences , but the lovelight danced in Katherine ' s eyes as she stood by .	Sweeter than the scent of summer jasmine after sunset was the feeling to her soul that he was near .	' Well , I ' m going to take More into the smoking - room .
