id	year	author	title	tags	link
000012003	1896	ACKWORTH, John	Clog Shop Chronicles
000012489	1897	ACTINOTUS, pseud.	Power of the Purse. [A tale.] By “Actinotus.”
000015141	1893	ADAMS, Francis William Lauderdale.	New Egypt. A social sketch. [Edited by J. W. Longsdon.]
000034538	1892	AINSLIE, Hew.	A Pilgrimage to the Land of Burns, and Poems ... With a memoir of the author, by Thomas C. Latto. [With portraits.]
000074637	1895	AMYAND, Arthur	With Rank and File; or, Sidelights on soldier life
000115624	1892	ARMSTRONG, Annie E.	Three Bright Girls: a story of chance and mischance, etc
000121465	1894	ARONA, Juan de	La Linea de Chorrillos. Descripcion de los tres principales balnearios marítimos que rodean á Lima, etc
000145287	1895	AUSTIN, Geoffrey.	Geoffrey Austin: student. [a tale.]
000171136		BAILEY, H. J. S.	Stray Verses
000188479	1890	BANBURY, George Alexander Lethbridge.	Lumley Wood Mystery ... Illustrated by J. B. Partridge
000302564	1890	Besant, Walter	[The Bell of St. Paul's.]
000354730	1889	BIOLLEY, Paul.	Costa Rica and her Future ... Translated ... by Cecil Charles ... Accompanied by a map, etc
000432459	1898	BOURCHIER, M. H.	Adventures of a Goldsmith
000434011	1896	BOURGET, Paul Charles Joseph.	[Mensonges.] A Living Lie ... Translated ... by John de Villiers
000440521	1892	BOWLONG, Colonel, pseud.	Told in the Verandah: passages in the life of Colonel Bowlong, set down by his Adjutant. Second edition
000455625	1895	BRANNT, William Theodore.	Petroleum ... Together with the occurrence and uses of natural gas. Edited chiefly from the German of Prof. Hans Hoefer and Dr. Alexander Veith, by W. T. Brannt ... Illustrated, etc. (Based upon “Das Erdoel und seine Verwandten,” von Prof. H. Hoefer, and “Das Erdoel und seine Verarbeitung,” von Dr. A. Veith.)
000494274	1890	BROWN, John	Literæ Laureatæ: or a selection from the poetical writings in Lincolnshire language by John Brown ... With introduction, life, and explanatory notes by J. Conway Walter
000544316	1897	BURRAGE, Edwin Harcourt.	Missing Million, etc
000556419		BYARS, William Vincent.	Glory of the Garden, and other odes, sonnets and ballads in sequence. With a note on the relations of the Horatian ode to the Tuscan sonnet
000706648	1897	CIOS, pseud.	Life in Afrikanderland as viewed by an Afrikander. A story of life in South Africa, based on truth. By “Cios.”
000776996	1893	COOPER, Edward Herbert.	Richard Escott
000871728	1890	DAVENPORT, E.	Girl's Own Poetry Book. Edited by E. Davenport
000880362	1897	DAVIS, Richard Harding.	[Soldiers of Fortune ... [A novel.] With illustrations by C. D. Gibson.]
000894615	1890	DE HAVILLAND, Saumarez.	Ritherdons Grange. [A novel.]
000900006	1890	DE LEON, Thomas Cooper.	Four Years in Rebel Capitals: an inside view of life in the Southern Confederacy, from birth to death. From original notes, collated in the years 1861 to 1865, by T. C. DeLeon
000931567	1893	Dickens, Charles	Personal History of David Copperfield
001199852	1896	FARJEON, Benjamin Leopold.	Betrayal of John Fordham
001199884	1898	FARJEON, Benjamin Leopold.	Miriam Rozella. [A tale.]
001202417	1892	Farrar, F. W. (Frederic William)	[Darkness and Dawn, or, scenes in the days of Nero. An historic tale.]
001215625	1896	FENN, George Manville.	Case of Ailsa Gray. [A novel.]
001419124	1893	GIFT, Theo.	An Island Princess. A story of six weeks-and afterwards
001488174	1889	GRANT, James	Love's Labour won. A novel
001491830	1895	GRAVES, R. H.	Forty Years in China; or, China in transition ... Illustrated. [With a portrait.]
001537270	1896	GUICHOT Y PARODI, Joaquin.	Historia del Excmo. Ayuntamiento de la ... ciudad de Sevilla, etc
001561631	1896	Haggard, H. Rider (Henry Rider)	[Jess ... A new edition.]
001594249	1897	Hardy, Thomas	well-beloved. A sketch of a temperament
001684322	1892	HILL, John	Treason-Felony. A novel
001729441	1894	HOPE, Andrée	Secret of Wardale Court and other stories
001887867	1891	JOHNSON, Virginia Wales.	A Royal Physician. [A novel.]
001930622	1890	KARR, Heywood Walter Seton.	Ten Years Travel and Sport in Foreign Lands, or, Travels in the Eighties ... Second edition, etc
002117509	1898	LEGLER, Henry Eduard.	Leading Events of Wisconsin History. The story of the State
002284306	1892	LUMMIS, Charles Fletcher.	Some Strange Corners of our Country. The Wonderland of the Southwest. [Illustrated.]
002309908	1890	MacDonald, George	Castle Warlock ... Fourth edition
002323529	1896	MACKERLIE, H. G.	Radical's Wife. [A tale.]
002555748	1897	MORRIS, Martin Henry FitzPatrick	Transatlantic Traits. Essays
002649581	1896	NICHOLSON, Claud.	Ugly Idol, etc
002706642	1895	OLLIVIER, Olivier Émile.	L'Empire libéral. Études, récits, souvenirs
002732990	1898	OUTES, Félix F.	Etnografía Argentina. Segunda contribución al estudio de los Indios Querandíes
002796282	1893	PAUL, M. B.	John Smith, and tales of the Gareloch
002973528	1890	POWELL, John Joseph	“Gloucestriana,” or Papers relating to the City of Gloucester
002982461	1891	PREMOLI, Palmiro.	L'Italia geografica illustrata, etc
003059007	1896	REES, Claude A.	Chun Ti-kung: his life and adventures. A novel
003126598	1892	ROBSON, James	Illustrated Scottish Borders: historical, traditional and descriptive ... With prefatory note by Professor Veitch
003142968		ROMANES, George John.	A Selection from the Poems of George John Romanes. With an introduction by T. H. Warren
003223514	1889	Vestry (SAINT MARGARET AND SAINT JOHN THE EVANGELIST, Westminster, United Parishes of)	Special and Annual Report, with notes on local government in Westminster from pre-Reformation times to the present day
003243389	1893	SANDERSON, Edgar.	History of England and the British Empire: ... a record of constitutional, ... military, ... and literary events from B.C. 55 to A.D. 1890 ... With maps and tables of genealogy
003314683	1897	SCOTT, G. Firth.	Track of Midnight. [A tale.]
003357221		SHAROWOOD, T. S.	For a King! An historical romance
003458042	1895	SPEARS, John Randolph.	Gold Diggings of Cape Horn. A study of life in Tierra del Fuego and Patagonia ... Illustrated
003464685	1895	SPINNER, Alice	Lucilla: an experiment
003498382	1896	STERRY, Joseph Ashby.	A Tale of the Thames ... With illustrations in verse by the author, etc
003551341		SWANN, Edward Gibbon.	Matters and Men ... Third edition
003696678	1891	TWEDDELL, Horatio J.	Handy Guide to Mold, and the neighbourhood, etc
003850329	1892	WARD, Mark James Barrington.	About England: or, First lessons in English Geography
003852906	1897	WARMAN, Cy.	Express Messenger, and other tales of the Rail
003912197	1892	WHITING, Mary Bradford.	Denis O'Neil
003940887	1891	WILLS, Charles James.	Jardyne's Wife. A novel, etc
003941288	1897	WILLSON, Beckles.	Tenth Island: being some account of Newfoundland ... With an introduction by the Rt. Hon. Sir W. Whiteway ... and some remarks on Newfoundland and the Navy by Lord C. Beresford
003953692	1890	WINTER, John Strange	Dinna Forget. A novel
003968121	1895	Wood, Henry	[The Red Court Farm. A novel.]
003968160		Wood, Henry	[Within the Maze. A novel.]
